config_name,description,avg_test_loss,std_test_loss,avg_test_accuracy,std_test_accuracy,avg_test_error,std_test_error,avg_test_f1,std_test_f1
config_1,Baseline,0.3608994356557435,0.03319852893371121,0.8901960784313725,0.004999038738816489,0.10980392156862746,0.004999038738816489,0.8830446883144635,0.006921278459113695
config_2,Larger model,0.34824353655179335,0.013772211439159045,0.9137254901960784,0.006043543140165641,0.0862745098039216,0.006043543140165641,0.9093297585190595,0.006987044411272168
config_3,Different learning rate and optimizer,0.26496475165088973,0.06545011016020635,0.926470588235294,0.011004874666982191,0.07352941176470588,0.01100487466698219,0.921216798435216,0.01094317631112557
config_4,Small batches with high learning rate,0.30223684175245363,0.035824659349611675,0.9294117647058823,0.012007302660701857,0.07058823529411766,0.012007302660701855,0.9248590239683171,0.011280771003243402
config_5,Fewer layers with larger embeddings,0.3532784075713625,0.021553792056704445,0.903921568627451,0.013655282624690315,0.09607843137254905,0.013655282624690316,0.8987513119371608,0.014030882952689382
